"gene_start_end_direction"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PBCCJM_00477 (480024-480101)"	40400.1307485219	4.54246853255353	0.0701104981986422	64.7901334217235	0	0
"ebh (914411-945676)"	1343713.11410096	8.96696612760035	0.104290695793942	85.9804995962178	0	0
"sarV (1832019-1832369)"	26350.4149400719	6.03304546436585	0.126792119005384	47.5821802781737	0	0
"fmhA (1975906-1977156)"	9235.98659986349	4.09525214903517	0.0977144351365713	41.9104111210531	0	0
"ywqE (2266704-2267471)"	22015.2697753766	7.61706450003651	0.140694926248379	54.1388712666833	0	0
"PBCCJM_02436 (2465629-2466600)"	27074.5045463756	8.47846534111615	0.15586882404747	54.3948759024065	0	0
"wcaJ (2466563-2467255)"	13956.0926144364	8.56545613364308	0.137499427527349	62.2944857856908	0	0
"PBCCJM_02439 (2468612-2469850)"	24678.2054714525	6.82117397019922	0.105809528064684	64.4665380799095	0	0
"rfbX (2469840-2471270)"	29241.2369894175	5.05249780329625	0.057806670601272	87.4033697278021	0	0
"capA (2268177;2491497-2268839;2492165)"	16007.8572052741	6.55214247846052	0.175579942563291	37.3171467241976	8.65184386438987e-305	2.00463222337913e-302
"PBCCJM_02269 (2284638-2285762)"	10017.3382625031	4.036378521776	0.11325164193467	35.6407947189359	3.27220414076991e-278	6.89245181287626e-276
"sak (1532714-1533205)"	3947.12727785294	-4.41191013811393	0.140832647515535	-31.3273251333805	1.98148495757829e-215	3.82591720559076e-213
"PBCCJM_01723 (1726431-1729739)"	124276.650630174	8.28582835236086	0.283652156730652	29.2112298664058	1.39643722110339e-187	2.48888080099735e-185
"gLY1 (789979-791004)"	6660.03804894089	5.45407636355318	0.188453680140159	28.9412037987097	3.62107313529198e-184	5.99287603890822e-182
"marR (501193;1830273;2092352;2100237;2216563;24268-501612;1830713;2092816;2100671;2217018;24687)"	19489.587318873	2.2303627978426	0.0783636631770949	28.4616964983143	3.49202410598045e-178	5.39401323570447e-176
"ldhD (2103220-2104212)"	107511.393915563	4.53618657553964	0.161367324190735	28.1109363267244	7.20102997542773e-174	1.04279915331663e-171
"fmtB (1722303-1726184)"	121071.531928532	7.62077876763461	0.301373480055024	25.2868260546457	4.45969067860412e-141	6.07829606019162e-139
"lytN (706755-707873)"	22495.8181892277	7.59742495424604	0.315743426803552	24.0620209616366	6.2483641277031e-128	8.0430331577156e-126
"PBCCJM_01017 (1050762-1051607)"	1364.16840661796	-3.33350626582918	0.139834130738883	-23.8390030260492	1.31684358049879e-125	1.60585609263985e-123
"phnD (2481160-2482116)"	8493.11452710134	6.78493232591248	0.290353036236883	23.3678711056324	9.07133866495569e-121	1.05091458433512e-118
"PBCCJM_01018 (1051600-1052529)"	1198.83160890882	-3.44942900125669	0.151303882918689	-22.7980203463147	4.79723612990546e-115	5.29295052999569e-113
"ureC (1849988-1851703)"	8895.55919949915	5.0937188161213	0.225495469977482	22.5890072941597	5.55826072648331e-113	5.85385913784628e-111
"PBCCJM_02174 (2169566-2169937)"	566.74227128933	-3.36170374672067	0.15006075790651	-22.402284205542	3.73907958567945e-111	3.76671626087795e-109
"PBCCJM_02173 (2169282-2169578)"	860.437881332766	-3.49677105372758	0.158324698041578	-22.0860743584635	4.30196319564958e-108	4.1531869684667e-106
"phnC (2480173-2480946)"	3291.749623332	6.31385618383549	0.286840526204052	22.0117298883491	2.22344634349743e-107	2.06069007115341e-105
"PBCCJM_02588 (2642271-2643437)"	849.340982774197	-2.4401804150888	0.116139690246691	-21.0107363805227	5.23171950927137e-98	4.6622669626853e-96
"splD (1384900-1385619)"	3960.03517298919	5.28577763132817	0.252052904694488	20.970905444375	1.2094043682383e-97	1.03784811896598e-95
"ureB (1849581-1849991)"	2185.6361670351	5.71075079982476	0.285735254017399	19.9861610337975	7.26768216260043e-89	6.01400698955185e-87
"hfq (776210-776443)"	3059.67316505662	3.04495947578907	0.152527140082948	19.963394541674	1.14653238054389e-88	9.16039836455237e-87
"fmhC (707901-709145)"	18011.7218497808	5.9955742649693	0.30292944249214	19.7919826334638	3.49037709907968e-87	2.69573457952254e-85
"mrp (1741833;2267468-1742897;2268160)"	34646.0303628255	2.06627412159716	0.105716883318371	19.5453560182482	4.51828344558587e-85	3.37705249787821e-83
"PBCCJM_02175 (2169949-2170227)"	286.512133981363	-3.51197789840274	0.181768350963063	-19.3211737895801	3.56452366960204e-83	2.58093791952123e-81
"phnE (2478559;2479371-2479374;2480171)"	5551.77312088876	5.11642672791217	0.265968379725623	19.2369737078909	1.81500672563882e-82	1.27435472221368e-80
"yut (1848100-1849005)"	2644.99118622226	3.92981734016469	0.20541461110186	19.1311480672424	1.38979517561061e-81	9.47104535849938e-80
"PBCCJM_02587 (2641354-2642274)"	700.542599104802	-2.2227921732885	0.117131918656917	-18.9768271430704	2.65131417727311e-80	1.7551699853548e-78
"PBCCJM_01016 (1049581-1050735)"	1367.45180465431	-1.97239023204209	0.104014419892763	-18.9626614663197	3.47125901320832e-80	2.23414087044547e-78
"ureE (1851716-1852168)"	2406.92295920551	4.05302418413623	0.215720045681015	18.7883521503116	9.40548062342732e-79	5.88986448769759e-77
"ureA (1849265-1849567)"	1234.60610483174	6.43250566440469	0.353553943433241	18.1938450521605	5.77434463112576e-74	3.5208306606101e-72
"opp4A (437661-439376)"	8757.3900455063	8.68851493755553	0.481784745070471	18.0340183587271	1.05349675776761e-72	6.25885125063475e-71
